Country;% (of GDP);
Taiwan;16.0;16.0
Madagascar;15.9;15.9
Burundi;15.8;15.8
Singapore;15.7;15.7
Philippines;15.6;15.6
Sierra Leone;15.6;15.6
Pakistan;15.4;15.4
Cameroon;15.3;15.3
Tanzania;15.2;15.2
Thailand;15.2;15.2
Dominican Republic;14.9;14.9
Liechtenstein;14.9;14.9
Monaco;14.9;14.9
Turkmenistan;14.9;14.9
Central African Republic;14.6;14.6
Uganda;14.5;14.5
Costa Rica;14.3;14.3
Isle of Man;14.2;14.2
Paraguay;14.2;14.2
Ethiopia;13.9;13.9
Sri Lanka;13.8;13.8
Burma;13.5;13.5
Chad;13.5;13.5
West Bank;13.4;13.4
Indonesia;13.0;13.0
Korea, North;11.4;11.4
Afghanistan;11.2;11.2
Congo, Democratic Republic of the;11.2;11.2
Guatemala;10.8;10.8
Timor-Leste;10.8;10.8
Bangladesh;9.6;9.6
India;9.2;9.2
Yemen;9.0;9.0
Puerto Rico;8.9;8.9
South Sudan;8.5;8.5
Syria;4.2;4.2
Nigeria;3.4;3.4
Somalia;2.1;2.1
