Country;Current Health Expenditure;
Singapore ;4.4% (2017) ;4.4
Slovakia ;6.7% (2017) ;6.7
Slovenia ;8.2% (2017) ;8.2
Solomon Islands ;4.7% (2017) ;4.7
South Africa ;8.1% (2017) ;8.1
South Sudan ;9.8% (2017) ;9.8
Spain ;8.9% (2017) ;8.9
Sri Lanka ;3.8% (2017) ;3.8
Sudan ;6.3% (2017) ;6.3
Suriname ;6.2% (2017) ;6.2
Sweden ;11% (2017) ;11
Switzerland ;12.3% (2017) ;12.3
Tajikistan ;7.2% (2017) ;7.2
Tanzania ;3.6% (2017) ;3.6
Thailand ;3.7% (2017) ;3.7
Timor-Leste ;3.9% (2017) ;3.9
Togo ;6.2% (2017) ;6.2
Tonga ;5.3% (2017) ;5.3
Trinidad and Tobago ;7% (2017) ;7
Tunisia ;7.2% (2017) ;7.2
Turkey ;4.2% (2017) ;4.2
Turkmenistan ;6.9% (2017) ;6.9
Tuvalu ;17.1% (2017) ;17.1
Uganda ;6.3% (2017) ;6.3
Ukraine ;7% (2017) ;7
United Arab Emirates ;3.3% (2017) ;3.3
United Kingdom ;9.6% (2017) ;9.6
United States ;17.1% (2017) ;17.1
Uruguay ;9.3% (2017) ;9.3
Uzbekistan ;6.4% (2017) ;6.4
Vanuatu ;3.3% (2017) ;3.3
Venezuela ;1.2% (2017) ;1.2
Vietnam ;5.5% (2017) ;5.5
World ;10% (2016) ;10
Yemen ;5.6% (2015) ;5.6
Zambia ;4.5% (2017) ;4.5
Zimbabwe ;6.6% (2017) ;6.6
