Country;migrant(s)/1,000 population;
Nauru;-10.60;-10.60
Guam;-10.96;-10.96
Jordan;-11.08;-11.08
Puerto Rico;-11.90;-11.90
Maldives;-12.78;-12.78
Northern Mariana Islands;-13.60;-13.60
Tonga;-18.01;-18.01
Micronesia, Federated States of;-20.91;-20.91
Cook Islands;-27.31;-27.31
American Samoa;-29.80;-29.80
