Country;Net migration rate(migrant(s)/1,000 population) ;migration
Bulgaria ;-2.82 migrant(s)/1,000 population (2011 est.) ;-2.82 
;;#VALUE!
Burkina Faso ;0 migrant(s)/1,000 population (2011 est.) ;0 
;;#VALUE!
Burma ;-0.31 migrant(s)/1,000 population (2011 est.) ;-0.31 
;;#VALUE!
Burundi ;3.22 migrant(s)/1,000 population (2011 est.) ;3.22 
;;#VALUE!
Cambodia ;-0.34 migrant(s)/1,000 population (2011 est.) ;-0.34 
;;#VALUE!
Cameroon ;0 migrant(s)/1,000 population (2011 est.) ;0 
;;#VALUE!
Canada ;5.65 migrant(s)/1,000 population (2011 est.) ;5.65 
;;#VALUE!
Cape Verde ;-0.66 migrant(s)/1,000 population (2011 est.) ;-0.66 
;;#VALUE!
Cayman Islands ;"15.72 migrant(s)/1,000 population 
note: major destination for Cubans trying to migrate to the US (2011 est.) ";15.72 
;;#VALUE!
Central African Republic ;0 migrant(s)/1,000 population (2011 est.) ;0 
;;#VALUE!
Chad ;-3.84 migrant(s)/1,000 population (2011 est.) ;-3.84 
;;#VALUE!
Chile ;0 migrant(s)/1,000 population (2011 est.) ;0 
;;#VALUE!
China ;-0.33 migrant(s)/1,000 population (2011 est.) ;-0.33 
;;#VALUE!
Christmas Island ;NA ;NA 
;;#VALUE!
Cocos (Keeling) Islands ;NA ;NA 
;;#VALUE!
Colombia ;-0.67 migrant(s)/1,000 population (2011 est.) ;-0.67 
;;#VALUE!
Comoros ;0 migrant(s)/1,000 population (2011 est.) ;0 
;;#VALUE!
Congo, Democratic Republic of the ;-0.54 migrant(s)/1,000 population (2011 est.) ;-0.54 
;;#VALUE!
Congo, Republic of the ;-0.71 migrant(s)/1,000 population (2011 est.) ;-0.71 
;;#VALUE!
Costa Rica ;0.87 migrant(s)/1,000 population (2011 est.) ;0.87 
;;#VALUE!
Cote d'Ivoire ;0 migrant(s)/1,000 population NA (2011 est.) ;0 
;;#VALUE!
Croatia ;1.55 migrant(s)/1,000 population (2011 est.) ;1.55 
;;#VALUE!
Cuba ;-3.56 migrant(s)/1,000 population (2011 est.) ;-3.56 
;;#VALUE!
Curacao ;1.27 migrant(s)/1,000 population (2008) ;1.27 
;;#VALUE!
Cyprus ;11.21 migrant(s)/1,000 population (2011 est.) ;11.21 
;;#VALUE!
Czech Republic ;0.97 migrant(s)/1,000 population (2011 est.) ;0.97 
;;#VALUE!
Denmark ;2.41 migrant(s)/1,000 population (2011 est.) ;2.41 
;;#VALUE!
Djibouti ;5.33 migrant(s)/1,000 population (2011 est.) ;5.33 
;;#VALUE!
Dominica ;-5.43 migrant(s)/1,000 population (2011 est.) ;-5.43 
;;#VALUE!
Dominican Republic ;-2.01 migrant(s)/1,000 population (2011 est.) ;-2.01 
;;#VALUE!
Ecuador ;-0.52 migrant(s)/1,000 population (2011 est.) ;-0.52 
;;#VALUE!
Egypt ;-0.21 migrant(s)/1,000 population (2011 est.) ;-0.21 
;;#VALUE!
El Salvador ;-8.95 migrant(s)/1,000 population (2011 est.) ;-8.95 
;;#VALUE!
Equatorial Guinea ;0 migrant(s)/1,000 population (2011 est.) ;0 
;;#VALUE!
Eritrea ;0 migrant(s)/1,000 population (2011 est.) ;0 
;;#VALUE!
Estonia ;-3.31 migrant(s)/1,000 population (2011 est.) ;-3.31 
;;#VALUE!
Ethiopia ;"-0.01 migrant(s)/1,000 population 
note: repatriation of Ethiopian refugees residing in Sudan is expected to continue for several years; some Sudanese, Somali, and Eritrean refugees, who fled to Ethiopia from the fighting or famine in their own countries, continue to return to their homes (2011 est.) ";-0.01 
;;#VALUE!
European Union ;1.48 migrant(s)/1,000 population (2010 est.) ;1.48 
;;#VALUE!
Falkland Islands (Islas Malvinas) ;NA ;NA 
;;#VALUE!
Faroe Islands ;0 migrant(s)/1,000 population (2011 est.) ;0 
;;#VALUE!
Fiji ;-7.24 migrant(s)/1,000 population (2011 est.) ;-7.24 
;;#VALUE!
Finland ;0.62 migrant(s)/1,000 population (2011 est.) ;0.62 
;;#VALUE!
France ;1.46 migrant(s)/1,000 population (2011 est.) ;1.46 
;;#VALUE!
French Polynesia ;2.65 migrant(s)/1,000 population (2011 est.) ;2.65 
;;#VALUE!
Gabon ;-2.2 migrant(s)/1,000 population (2011 est.) ;-2.2 
;;#VALUE!
Gambia, The ;-2.58 migrant(s)/1,000 population (2011 est.) ;-2.58 
;;#VALUE!
Gaza Strip ;0 migrant(s)/1,000 population (2011 est.) ;0 
;;#VALUE!
Georgia ;-4.06 migrant(s)/1,000 population (2011 est.) ;-4.06 
;;#VALUE!
Germany ;0.54 migrant(s)/1,000 population (2011 est.) ;0.54 
;;#VALUE!
Ghana ;-0.58 migrant(s)/1,000 population (2011 est.) ;-0.58 
;;#VALUE!
Gibraltar ;-3.32 migrant(s)/1,000 population (2011 est.) ;-3.32 
;;#VALUE!
Greece ;2.32 migrant(s)/1,000 population (2011 est.) ;2.32 
;;#VALUE!
Greenland ;-5.98 migrant(s)/1,000 population (2011 est.) ;-5.98 
;;#VALUE!
Grenada ;-3.56 migrant(s)/1,000 population (2011 est.) ;-3.56 
;;#VALUE!
Guam ;0 migrant(s)/1,000 population (2011 est.) ;0 
;;#VALUE!
Guatemala ;-2.12 migrant(s)/1,000 population (2011 est.) ;-2.12 
;;#VALUE!
Guernsey ;2.69 migrant(s)/1,000 population (2011 est.) ;2.69 
;;#VALUE!
Guinea ;0 migrant(s)/1,000 population (2011 est.) ;0 
;;#VALUE!
Guinea-Bissau ;0 migrant(s)/1,000 population (2011 est.) ;0 
;;#VALUE!
Guyana ;-14.32 migrant(s)/1,000 population (2011 est.) ;-14.32 
;;#VALUE!
Haiti ;-8.32 migrant(s)/1,000 population (2011 est.) ;-8.32 
;;#VALUE!
Honduras ;-1.25 migrant(s)/1,000 population (2011 est.) ;-1.25 
;;#VALUE!
Hong Kong ;4.06 migrant(s)/1,000 population (2011 est.) ;4.06 
;;#VALUE!
Hungary ;1.39 migrant(s)/1,000 population (2011 est.) ;1.39 
;;#VALUE!
Iceland ;0.53 migrant(s)/1,000 population (2011 est.) ;0.53 
;;#VALUE!
India ;-0.05 migrant(s)/1,000 population (2011 est.) ;-0.05 
;;#VALUE!
Indonesia ;-1.15 migrant(s)/1,000 population (2011 est.) ;-1.15 
;;#VALUE!
Iran ;-0.13 migrant(s)/1,000 population (2011 est.) ;-0.13 
;;#VALUE!
Iraq ;0 migrant(s)/1,000 population (2011 est.) ;0 
;;#VALUE!
Ireland ;0.86 migrant(s)/1,000 population (2011 est.) ;0.86 
;;#VALUE!
Isle of Man ;7.71 migrant(s)/1,000 population (2011 est.) ;7.71 
;;#VALUE!
Israel ;2.08 migrant(s)/1,000 population (2011 est.) ;2.08 
;;#VALUE!
Italy ;4.86 migrant(s)/1,000 population (2011 est.) ;4.86 
;;#VALUE!
Jamaica ;-5.34 migrant(s)/1,000 population (2011 est.) ;-5.34 
;;#VALUE!
Japan ;0 migrant(s)/1,000 population (2011 est.) ;0 
;;#VALUE!
Jersey ;5.03 migrant(s)/1,000 population (2011 est.) ;5.03 
;;#VALUE!
Jordan ;-14.26 migrant(s)/1,000 population (2011 est.) ;-14.26 
;;#VALUE!
Kazakhstan ;-3.27 migrant(s)/1,000 population (2011 est.) ;-3.27 
;;#VALUE!
Kenya ;0 migrant(s)/1,000 population (2011 est.) ;0 
;;#VALUE!
Kiribati ;-2.85 migrant(s)/1,000 population (2011 est.) ;-2.85 
;;#VALUE!
Korea, North ;-0.04 migrant(s)/1,000 population (2011 est.) ;-0.04 
;;#VALUE!
Korea, South ;0 migrant(s)/1,000 population (2011 est.) ;0 
;;#VALUE!
Kuwait ;0.65 migrant(s)/1,000 population (2011 est.) ;0.65 
;;#VALUE!
Kyrgyzstan ;-2.6 migrant(s)/1,000 population (2011 est.) ;-2.6 
;;#VALUE!
Laos ;-1.16 migrant(s)/1,000 population (2011 est.) ;-1.16 
;;#VALUE!
Latvia ;-2.33 migrant(s)/1,000 population (2011 est.) ;-2.33 
;;#VALUE!
Lebanon ;-6.04 migrant(s)/1,000 population (2011 est.) ;-6.04 
;;#VALUE!
Lesotho ;-8.42 migrant(s)/1,000 population (2011 est.) ;-8.42 
;;#VALUE!
Liberia ;0 migrant(s)/1,000 population (2011 est.) ;0 
;;#VALUE!
Libya ;0 migrant(s)/1,000 population (2011 est.) ;0 
;;#VALUE!
Liechtenstein ;4.48 migrant(s)/1,000 population (2011 est.) ;4.48 
;;#VALUE!
Lithuania ;-0.72 migrant(s)/1,000 population (2011 est.) ;-0.72 
;;#VALUE!
Luxembourg ;8.24 migrant(s)/1,000 population (2011 est.) ;8.24 
;;#VALUE!
Macau ;3.49 migrant(s)/1,000 population (2011 est.) ;3.49 
;;#VALUE!
Macedonia ;-0.48 migrant(s)/1,000 population (2011 est.) ;-0.48 
;;#VALUE!
Madagascar ;0 migrant(s)/1,000 population (2011 est.) ;0 
;;#VALUE!
Malawi ;0 migrant(s)/1,000 population (2011 est.) ;0 
;;#VALUE!
Malaysia ;"-0.39 migrant(s)/1,000 population 
note: does not reflect net flow of an unknown number of illegal immigrants from other countries in the region (2011 est.) ";-0.39 
;;#VALUE!
Maldives ;-12.62 migrant(s)/1,000 population (2011 est.) ;-12.62 
;;#VALUE!
Mali ;-5.23 migrant(s)/1,000 population (2011 est.) ;-5.23 
;;#VALUE!
Malta ;2.01 migrant(s)/1,000 population (2011 est.) ;2.01 
;;#VALUE!
Marshall Islands ;-5.19 migrant(s)/1,000 population (2011 est.) ;-5.19 
;;#VALUE!
Mauritania ;-0.91 migrant(s)/1,000 population (2011 est.) ;-0.91 
;;#VALUE!
Mauritius ;0 migrant(s)/1,000 population (2011 est.) ;0 
;;#VALUE!
Mexico ;-3.24 migrant(s)/1,000 population (2011 est.) ;-3.24 
;;#VALUE!
Micronesia, Federated States of ;-20.99 migrant(s)/1,000 population (2011 est.) ;-20.99 
;;#VALUE!
Moldova ;-1.13 migrant(s)/1,000 population (2011 est.) ;-1.13 
;;#VALUE!
Monaco ;0.1 migrant(s)/1,000 population (2011 est.) ;0.1 
;;#VALUE!
Mongolia ;0 migrant(s)/1,000 population (2011 est.) ;0 
;;#VALUE!
Montserrat ;0 migrant(s)/1,000 population (2011 est.) ;0 
;;#VALUE!
Morocco ;-3.77 migrant(s)/1,000 population (2011 est.) ;-3.77 
;;#VALUE!
Mozambique ;-2.18 migrant(s)/1,000 population (2011 est.) ;-2.18 
;;#VALUE!
Namibia ;0.2 migrant(s)/1,000 population (2011 est.) ;0.2 
;;#VALUE!
Nauru ;-15.55 migrant(s)/1,000 population (2011 est.) ;-15.55 
;;#VALUE!
Nepal ;0.61 migrant(s)/1,000 population (2011 est.) ;0.61 
;;#VALUE!
Netherlands ;2.33 migrant(s)/1,000 population (2011 est.) ;2.33 
;;#VALUE!
New Caledonia ;"4.25 migrant(s)/1,000 population 
note: there has been steady emigration from Wallis and Futuna to New Caledonia (2011 est.) ";4.25 
;;#VALUE!
New Zealand ;2.28 migrant(s)/1,000 population (2011 est.) ;2.28 
;;#VALUE!
Nicaragua ;-3.54 migrant(s)/1,000 population (2011 est.) ;-3.54 
;;#VALUE!
Niger ;0 migrant(s)/1,000 population (2011 est.) ;0 
;;#VALUE!
Nigeria ;-0.1 migrant(s)/1,000 population (2011 est.) ;-0.1 
;;#VALUE!
Niue ;NA ;NA 
;;#VALUE!
Norfolk Island ;NA ;NA 
;;#VALUE!
Northern Mariana Islands ;-57.46 migrant(s)/1,000 population (2011 est.) ;-57.46 
;;#VALUE!
Norway ;1.7 migrant(s)/1,000 population (2011 est.) ;1.7 
;;#VALUE!
Oman ;-0.48 migrant(s)/1,000 population (2011 est.) ;-0.48 
;;#VALUE!
Pakistan ;-2.17 migrant(s)/1,000 population (2011 est.) ;-2.17 
;;#VALUE!
Palau ;0.76 migrant(s)/1,000 population (2011 est.) ;0.76 
;;#VALUE!
Panama ;-0.42 migrant(s)/1,000 population (2011 est.) ;-0.42 
;;#VALUE!
Papua New Guinea ;0 migrant(s)/1,000 population (2011 est.) ;0 
;;#VALUE!
Paraguay ;-0.08 migrant(s)/1,000 population (2011 est.) ;-0.08 
;;#VALUE!
Peru ;-3.2 migrant(s)/1,000 population (2011 est.) ;-3.2 
;;#VALUE!
Philippines ;-1.29 migrant(s)/1,000 population (2011 est.) ;-1.29 
;;#VALUE!
Pitcairn Islands ;NA ;NA 
;;#VALUE!
Poland ;-0.47 migrant(s)/1,000 population (2011 est.) ;-0.47 
;;#VALUE!
Portugal ;2.98 migrant(s)/1,000 population (2011 est.) ;2.98 
;;#VALUE!
Puerto Rico ;-0.86 migrant(s)/1,000 population (2011 est.) ;-0.86 
;;#VALUE!
Qatar ;-4.94 migrant(s)/1,000 population (2011 est.) ;-4.94 
;;#VALUE!
Romania ;-0.26 migrant(s)/1,000 population (2011 est.) ;-0.26 
;;#VALUE!
Russia ;0.29 migrant(s)/1,000 population (2011 est.) ;0.29 
;;#VALUE!
Rwanda ;1.06 migrant(s)/1,000 population (2011 est.) ;1.06 
;;#VALUE!
Saint Helena, Ascension, and Tristan da Cunha ;0 migrant(s)/1,000 population (2011 est.) ;0 
;;#VALUE!
Saint Kitts and Nevis ;1.25 migrant(s)/1,000 population (2011 est.) ;1.25 
;;#VALUE!
Saint Lucia ;-3.73 migrant(s)/1,000 population (2011 est.) ;-3.73 
;;#VALUE!
Saint Pierre and Miquelon ;-9.17 migrant(s)/1,000 population (2011 est.) ;-9.17 
;;#VALUE!
Saint Vincent and the Grenadines ;-10.92 migrant(s)/1,000 population (2011 est.) ;-10.92 
;;#VALUE!
Samoa ;-11.16 migrant(s)/1,000 population (2011 est.) ;-11.16 
;;#VALUE!
San Marino ;9.3 migrant(s)/1,000 population (2011 est.) ;9.3 
;;#VALUE!
Sao Tome and Principe ;-9.33 migrant(s)/1,000 population (2011 est.) ;-9.33 
;;#VALUE!
Saudi Arabia ;-0.64 migrant(s)/1,000 population (2011 est.) ;-0.64 
;;#VALUE!
Senegal ;-1.9 migrant(s)/1,000 population (2011 est.) ;-1.9 
;;#VALUE!
Serbia ;0 migrant(s)/1,000 population (2011 est.) ;0 
;;#VALUE!
Seychelles ;1.03 migrant(s)/1,000 population (2011 est.) ;1.03 
;;#VALUE!
Sierra Leone ;"-4.25 migrant(s)/1,000 population 
note: refugees currently in surrounding countries are slowly returning (2011 est.) ";-4.25 
;;#VALUE!
Singapore ;4.63 migrant(s)/1,000 population (2011 est.) ;4.63 
;;#VALUE!
Sint Maarten ;14.24 migrant(s)/1,000 population (2008) ;14.24 
;;#VALUE!
Slovakia ;0.29 migrant(s)/1,000 population (2011 est.) ;0.29 
;;#VALUE!
Slovenia ;0.39 migrant(s)/1,000 population (2011 est.) ;0.39 
;;#VALUE!
Solomon Islands ;-1.9 migrant(s)/1,000 population (2011 est.) ;-1.9 
;;#VALUE!
Somalia ;-11.81 migrant(s)/1,000 population (2011 est.) ;-11.81 
;;#VALUE!
South Africa ;"-6.19 migrant(s)/1,000 population 
note: there is an increasing flow of Zimbabweans into South Africa and Botswana in search of better economic opportunities (2011 est.) ";-6.19 
;;#VALUE!
Spain ;3.89 migrant(s)/1,000 population (2011 est.) ;3.89 
;;#VALUE!
Sri Lanka ;-2.16 migrant(s)/1,000 population (2011 est.) ;-2.16 
;;#VALUE!
Sudan ;-0.29 migrant(s)/1,000 population (2011 est.) ;-0.29 
;;#VALUE!
Suriname ;0 migrant(s)/1,000 population (2011 est.) ;0 
;;#VALUE!
Svalbard ;NA ;NA 
;;#VALUE!
Swaziland ;0 migrant(s)/1,000 population (2011 est.) ;0 
;;#VALUE!
Sweden ;1.65 migrant(s)/1,000 population (2011 est.) ;1.65 
;;#VALUE!
Switzerland ;1.29 migrant(s)/1,000 population (2011 est.) ;1.29 
;;#VALUE!
Syria ;-11.18 migrant(s)/1,000 population (2011 est.) ;-11.18 
;;#VALUE!
Taiwan ;0.03 migrant(s)/1,000 population (2011 est.) ;0.03 
;;#VALUE!
Tajikistan ;-1.24 migrant(s)/1,000 population (2011 est.) ;-1.24 
;;#VALUE!
Tanzania ;-0.53 migrant(s)/1,000 population (2011 est.) ;-0.53 
;;#VALUE!
Thailand ;0 migrant(s)/1,000 population (2011 est.) ;0 
;;#VALUE!
Timor-Leste ;0 migrant(s)/1,000 population (2011 est.) ;0 
;;#VALUE!
Togo ;0 migrant(s)/1,000 population (2011 est.) ;0 
;;#VALUE!
Tokelau ;NA ;NA 
;;#VALUE!
Tonga ;-17.94 migrant(s)/1,000 population (2011 est.) ;-17.94 
;;#VALUE!
Trinidad and Tobago ;-6.93 migrant(s)/1,000 population (2011 est.) ;-6.93 
;;#VALUE!
Tunisia ;-1.79 migrant(s)/1,000 population (2011 est.) ;-1.79 
;;#VALUE!
Turkey ;0.51 migrant(s)/1,000 population (2011 est.) ;0.51 
;;#VALUE!
Turkmenistan ;-1.92 migrant(s)/1,000 population (2011 est.) ;-1.92 
;;#VALUE!
Turks and Caicos Islands ;20.08 migrant(s)/1,000 population (2011 est.) ;20.08 
;;#VALUE!
Tuvalu ;-7.02 migrant(s)/1,000 population (2011 est.) ;-7.02 
;;#VALUE!
Uganda ;-0.02 migrant(s)/1,000 population (2011 est.) ;-0.02 
;;#VALUE!
Ukraine ;-0.09 migrant(s)/1,000 population (2011 est.) ;-0.09 
;;#VALUE!
United Arab Emirates ;19 migrant(s)/1,000 population (2011 est.) ;19 
;;#VALUE!
United Kingdom ;2.6 migrant(s)/1,000 population (2011 est.) ;2.6 
;;#VALUE!
United States ;4.18 migrant(s)/1,000 population (2011 est.) ;4.18 
;;#VALUE!
Uruguay ;-1.63 migrant(s)/1,000 population (2011 est.) ;-1.63 
;;#VALUE!
Uzbekistan ;-2.74 migrant(s)/1,000 population (2011 est.) ;-2.74 
;;#VALUE!
Vanuatu ;0 migrant(s)/1,000 population (2011 est.) ;0 
;;#VALUE!
Venezuela ;0 migrant(s)/1,000 population (2011 est.) ;0 
;;#VALUE!
Vietnam ;-0.35 migrant(s)/1,000 population (2011 est.) ;-0.35 
;;#VALUE!
Virgin Islands ;-5.04 migrant(s)/1,000 population (2011 est.) ;-5.04 
;;#VALUE!
Wallis and Futuna ;"-5.72 migrant(s)/1,000 population 
note: there has been steady emigration from Wallis and Futuna to New Caledonia (2011 est.) ";-5.72 
;;#VALUE!
West Bank ;0 migrant(s)/1,000 population (2011 est.) ;0 
;;#VALUE!
Yemen ;0 migrant(s)/1,000 population (2011 est.) ;0 
;;#VALUE!
Zambia ;-0.84 migrant(s)/1,000 population (2011 est.) ;-0.84 
;;#VALUE!
Zimbabwe ;"24.83 migrant(s)/1,000 population 
note: there is an increasing flow of Zimbabweans into South Africa and Botswana in search of better economic opportunities (2011 est.) ";24.83 
