Country;Birth rate(births/1,000 population) ;birth_rate;birth_rate
Mali ;45.62 births/1,000 population (2011 est.) ;45.62 ;45.62 
Malta ;10.35 births/1,000 population (2011 est.) ;10.35 ;10.35 
Marshall Islands ;29.11 births/1,000 population (2011 est.) ;29.11 ;29.11 
Mauritania ;33.23 births/1,000 population (2011 est.) ;33.23 ;33.23 
Mauritius ;13.97 births/1,000 population (2011 est.) ;13.97 ;13.97 
Mexico ;19.13 births/1,000 population (2011 est.) ;19.13 ;19.13 
Micronesia, Federated States of ;22.22 births/1,000 population (2011 est.) ;22.22 ;22.22 
Moldova ;11.16 births/1,000 population (2011 est.) ;11.16 ;11.16 
Monaco ;6.94 births/1,000 population (2011 est.) ;6.94 ;6.94 
Mongolia ;20.93 births/1,000 population (2011 est.) ;20.93 ;20.93 
Montenegro ;11 births/1,000 population (2011 est.) ;11 ;11 
Montserrat ;11.67 births/1,000 population (2011 est.) ;11.67 ;11.67 
Morocco ;19.19 births/1,000 population (2011 est.) ;19.19 ;19.19 
Mozambique ;39.62 births/1,000 population (2011 est.) ;39.62 ;39.62 
Namibia ;21.48 births/1,000 population (2011 est.) ;21.48 ;21.48 
Nauru ;27.78 births/1,000 population (2011 est.) ;27.78 ;27.78 
Nepal ;22.17 births/1,000 population (2011 est.) ;22.17 ;22.17 
Netherlands ;10.23 births/1,000 population (2011 est.) ;10.23 ;10.23 
New Caledonia ;16.28 births/1,000 population (2011 est.) ;16.28 ;16.28 
New Zealand ;13.68 births/1,000 population (2011 est.) ;13.68 ;13.68 
Nicaragua ;19.46 births/1,000 population (2011 est.) ;19.46 ;19.46 
Niger ;50.54 births/1,000 population (2011 est.) ;50.54 ;50.54 
Nigeria ;35.51 births/1,000 population (2011 est.) ;35.51 ;35.51 
Niue ;NA ;NA ;NA 
Norfolk Island ;NA ;NA ;NA 
Northern Mariana Islands ;20.69 births/1,000 population (2011 est.) ;20.69 ;20.69 
Norway ;10.84 births/1,000 population (2011 est.) ;10.84 ;10.84 
Oman ;24.15 births/1,000 population (2011 est.) ;24.15 ;24.15 
Pakistan ;24.81 births/1,000 population (2011 est.) ;24.81 ;24.81 
Palau ;10.74 births/1,000 population (2011 est.) ;10.74 ;10.74 
Panama ;19.43 births/1,000 population (2011 est.) ;19.43 ;19.43 
Papua New Guinea ;26.44 births/1,000 population (2011 est.) ;26.44 ;26.44 
Paraguay ;17.48 births/1,000 population (2011 est.) ;17.48 ;17.48 
Peru ;19.41 births/1,000 population (2011 est.) ;19.41 ;19.41 
Philippines ;25.34 births/1,000 population (2011 est.) ;25.34 ;25.34 
Pitcairn Islands ;NA ;NA ;NA 
Poland ;10.01 births/1,000 population (2011 est.) ;10.01 ;10.01 
Portugal ;9.94 births/1,000 population (2011 est.) ;9.94 ;9.94 
Puerto Rico ;11.35 births/1,000 population (2011 est.) ;11.35 ;11.35 
Qatar ;15.48 births/1,000 population (2011 est.) ;15.48 ;15.48 
Romania ;9.55 births/1,000 population (2011 est.) ;9.55 ;9.55 
Russia ;11.05 births/1,000 population (2011 est.) ;11.05 ;11.05 
Rwanda ;36.74 births/1,000 population (2011 est.) ;36.74 ;36.74 
Saint Helena, Ascension, and Tristan da Cunha ;10.65 births/1,000 population (2011 est.) ;10.65 ;10.65 
Saint Kitts and Nevis ;14.07 births/1,000 population (2011 est.) ;14.07 ;14.07 
Saint Lucia ;14.63 births/1,000 population (2011 est.) ;14.63 ;14.63 
Saint Pierre and Miquelon ;8.32 births/1,000 population (2011 est.) ;8.32 ;8.32 
Saint Vincent and the Grenadines ;14.62 births/1,000 population (2011 est.) ;14.62 ;14.62 
Samoa ;22.5 births/1,000 population (2011 est.) ;22.5 ;22.5 
San Marino ;9.02 births/1,000 population (2011 est.) ;9.02 ;9.02 
Sao Tome and Principe ;38.03 births/1,000 population (2011 est.) ;38.03 ;38.03 
Saudi Arabia ;19.34 births/1,000 population (2011 est.) ;19.34 ;19.34 
Senegal ;36.73 births/1,000 population (2011 est.) ;36.73 ;36.73 
Serbia ;9.19 births/1,000 population (2011 est.) ;9.19 ;9.19 
Seychelles ;15.33 births/1,000 population (2011 est.) ;15.33 ;15.33 
Sierra Leone ;38.46 births/1,000 population (2011 est.) ;38.46 ;38.46 
Singapore ;8.5 births/1,000 population (2011 est.) ;8.5 ;8.5 
Sint Maarten ;NA ;NA ;NA 
Slovakia ;10.48 births/1,000 population (2011 est.) ;10.48 ;10.48 
Slovenia ;8.85 births/1,000 population (2011 est.) ;8.85 ;8.85 
Solomon Islands ;28.03 births/1,000 population (2011 est.) ;28.03 ;28.03 
Somalia ;42.71 births/1,000 population (2011 est.) ;42.71 ;42.71 
South Africa ;19.48 births/1,000 population (2011 est.) ;19.48 ;19.48 
Spain ;10.66 births/1,000 population (2011 est.) ;10.66 ;10.66 
Sri Lanka ;17.42 births/1,000 population (2011 est.) ;17.42 ;17.42 
Sudan ;36.12 births/1,000 population (2011 est.) ;36.12 ;36.12 
Suriname ;16.42 births/1,000 population (2011 est.) ;16.42 ;16.42 
Svalbard ;NA ;NA ;NA 
Swaziland ;26.63 births/1,000 population (2011 est.) ;26.63 ;26.63 
Sweden ;10.18 births/1,000 population (2011 est.) ;10.18 ;10.18 
Switzerland ;9.53 births/1,000 population (2011 est.) ;9.53 ;9.53 
Syria ;23.99 births/1,000 population (2011 est.) ;23.99 ;23.99 
Taiwan ;8.9 births/1,000 population (2011 est.) ;8.9 ;8.9 
Tajikistan ;26.29 births/1,000 population (2011 est.) ;26.29 ;26.29 
Tanzania ;32.64 births/1,000 population (2011 est.) ;32.64 ;32.64 
Thailand ;12.95 births/1,000 population (2011 est.) ;12.95 ;12.95 
Timor-Leste ;25.7 births/1,000 population (2011 est.) ;25.7 ;25.7 
Togo ;35.58 births/1,000 population (2011 est.) ;35.58 ;35.58 
Tokelau ;NA ;NA ;NA 
Tonga ;25.27 births/1,000 population (2011 est.) ;25.27 ;25.27 
Trinidad and Tobago ;14.35 births/1,000 population (2011 est.) ;14.35 ;14.35 
Tunisia ;17.4 births/1,000 population (2011 est.) ;17.4 ;17.4 
Turkey ;17.93 births/1,000 population (2011 est.) ;17.93 ;17.93 
Turkmenistan ;19.54 births/1,000 population (2011 est.) ;19.54 ;19.54 
Turks and Caicos Islands ;17.76 births/1,000 population (2011 est.) ;17.76 ;17.76 
Tuvalu ;23.24 births/1,000 population (2011 est.) ;23.24 ;23.24 
Uganda ;47.49 births/1,000 population (2011 est.) ;47.49 ;47.49 
Ukraine ;9.62 births/1,000 population (2011 est.) ;9.62 ;9.62 
United Arab Emirates ;15.87 births/1,000 population (2011 est.) ;15.87 ;15.87 
United Kingdom ;12.29 births/1,000 population (2011 est.) ;12.29 ;12.29 
United States ;13.83 births/1,000 population (2011 est.) ;13.83 ;13.83 
Uruguay ;13.52 births/1,000 population (2011 est.) ;13.52 ;13.52 
Uzbekistan ;17.43 births/1,000 population (2011 est.) ;17.43 ;17.43 
Vanuatu ;20.86 births/1,000 population (2011 est.) ;20.86 ;20.86 
Venezuela ;20.1 births/1,000 population (2011 est.) ;20.1 ;20.1 
Vietnam ;17.07 births/1,000 population (2011 est.) ;17.07 ;17.07 
Virgin Islands ;11.41 births/1,000 population (2011 est.) ;11.41 ;11.41 
Wallis and Futuna ;13.96 births/1,000 population NA (2011 est.) ;13.96 ;13.96 
West Bank ;24.56 births/1,000 population (2011 est.) ;24.56 ;24.56 
Western Sahara ;32.1 births/1,000 population (2011 est.) ;32.1 ;32.1 
Yemen ;33.49 births/1,000 population (2011 est.) ;33.49 ;33.49 
Zambia ;44.08 births/1,000 population (2011 est.) ;44.08 ;44.08 
Zimbabwe ;31.86 births/1,000 population (2011 est.) ;31.86 ;31.86 
