Country;migrant(s)/1,000 population;
Afghanistan;-0.1;-0.1
China;-0.11;-0.11
Chad;-0.12;-0.12
Ghana;-0.16;-0.16
Kenya;-0.19;-0.19
Ethiopia;-0.19;-0.19
Brazil;-0.19;-0.19
Angola;-0.19;-0.19
Yemen;-0.19;-0.19
Vietnam;-0.21;-0.21
Nigeria;-0.21;-0.21
Thailand;-0.22;-0.22
Croatia;-0.26;-0.26
Ukraine;-0.27;-0.27
Bulgaria;-0.29;-0.29
Barbados;-0.29;-0.29
Egypt;-0.29;-0.29
Iran;-0.3;-0.3
Cameroon;-0.3;-0.3
Poland;-0.34;-0.34
Bosnia and Herzegovina;-0.38;-0.38
Tanzania;-0.39;-0.39
Oman;-0.46;-0.46
Cabo Verde;-0.57;-0.57
Burkina Faso;-0.59;-0.59
French Polynesia;-0.61;-0.61
Niger;-0.62;-0.62
Congo, Democratic Republic of the;-0.63;-0.63
Paracel Islands;-0.66;-0.66
Senegal;-0.69;-0.69
Indonesia;-0.71;-0.71
Kosovo;-0.71;-0.71
Mauritania;-0.71;-0.71
Mexico;-0.77;-0.77
Mongolia;-0.77;-0.77
Algeria;-0.81;-0.81
Saint Lucia;-0.82;-0.82
Uruguay;-0.88;-0.88
Peru;-0.89;-0.89
Lebanon;-0.94;-0.94
Belize;-0.95;-0.95
Bolivia;-0.96;-0.96
Trinidad and Tobago;-0.97;-0.97
Iraq;-0.98;-0.98
Bahrain;-0.99;-0.99
Pakistan;-1.01;-1.01
Tajikistan;-1.02;-1.02
Laos;-1.09;-1.09
Sri Lanka;-1.21;-1.21
Saint Barthelemy;-1.27;-1.27
Vanuatu;-1.28;-1.28
Curacao;-1.31;-1.31
Honduras;-1.32;-1.32
Tunisia;-1.33;-1.33
Burma;-1.36;-1.36
Somalia;-1.42;-1.42
Solomon Islands;-1.52;-1.52
Turkey (Turkiye);-1.53;-1.53
Mozambique;-1.54;-1.54
Sudan;-1.63;-1.63
Guatemala;-1.63;-1.63
Turkmenistan;-1.69;-1.69
Uzbekistan;-1.7;-1.7
Morocco;-1.73;-1.73
Togo;-1.77;-1.77
Colombia;-1.85;-1.85
Haiti;-1.86;-1.86
Nicaragua;-2.04;-2.04
Libya;-2.05;-2.05
Comoros;-2.22;-2.22
Grenada;-2.34;-2.34
Cuba;-2.53;-2.53
Dominican Republic;-2.66;-2.66
Cambodia;-2.67;-2.67
Liberia;-2.67;-2.67
Estonia;-2.73;-2.73
Kiribati;-2.79;-2.79
Bangladesh;-2.88;-2.88
Mali;-2.99;-2.99
Central African Republic;-3.16;-3.16
Rwanda;-3.16;-3.16
Uganda;-3.16;-3.16
Albania;-3.22;-3.22
Gibraltar;-3.24;-3.24
United Arab Emirates;-3.35;-3.35
Guinea-Bissau;-3.54;-3.54
Timor-Leste;-3.81;-3.81
Wallis and Futuna;-3.83;-3.83
Tokelau;-3.84;-3.84
Romania;-3.86;-3.86
West Bank;-4.02;-4.02
Kuwait;-4.07;-4.07
Nepal;-4.29;-4.29
Marshall Islands;-4.31;-4.31
Lithuania;-4.34;-4.34
Gaza Strip;-4.46;-4.46
Lesotho;-4.52;-4.52
Zimbabwe;-4.74;-4.74
Kyrgyzstan;-4.83;-4.83
Greenland;-4.95;-4.95
Montenegro;-4.99;-4.99
Latvia;-5.06;-5.06
Armenia;-5.28;-5.28
Dominica;-5.3;-5.3
Svalbard;-5.57;-5.57
Fiji;-5.65;-5.65
Eswatini;-6.07;-6.07
Saint Vincent and the Grenadines;-6.11;-6.11
Saint Martin;-6.17;-6.17
Tuvalu;-6.36;-6.36
Sao Tome and Principe;-6.84;-6.84
Guyana;-6.99;-6.99
El Salvador;-7.01;-7.01
Saint Pierre and Miquelon;-7.12;-7.12
Samoa;-7.19;-7.19
Virgin Islands;-7.3;-7.3
Jamaica;-7.42;-7.42
Moldova;-8.8;-8.8
Eritrea;-9.38;-9.38
Nauru;-10.15;-10.15
Puerto Rico;-10.76;-10.76
Guam;-10.94;-10.94
Jordan;-10.99;-10.99
Maldives;-12.8;-12.8
Northern Mariana Islands;-13.51;-13.51
Tonga;-18.06;-18.06
Micronesia, Federated States of;-20.92;-20.92
Cook Islands;-26.2;-26.2
American Samoa;-27.36;-27.36
