Country;HEALTH EXPENDITURES(% OF GDP);
Grenada;6.1% of GDP (2014);6.1
Guatemala;6.2% of GDP (2014);6.2
Guinea-Bissau;5.6% of GDP (2014);5.6
Guinea;5.6% of GDP (2014);5.6
Guyana;5.2% of GDP (2014);5.2
Haiti;7.6% of GDP (2014);7.6
Honduras;8.7% of GDP (2014);8.7
Hungary;7.4% of GDP (2014);7.4
Iceland;8.9% of GDP (2014);8.9
India;4.7% of GDP (2014);4.7
Indonesia;2.8% of GDP (2014);2.8
Iran;6.9% of GDP (2014);6.9
Iraq;5.5% of GDP (2014);5.5
Ireland;7.8% of GDP (2014);7.8
Israel;7.8% of GDP (2014);7.8
Italy;9.2% of GDP (2014);9.2
Jamaica;5.4% of GDP (2014);5.4
Japan;10.2% of GDP (2014);10.2
Jordan;7.5% of GDP (2014);7.5
Kazakhstan;4.4% of GDP (2014);4.4
Kenya;5.7% of GDP (2014);5.7
Kiribati;10.2% of GDP (2014);10.2
Korea, South;7.4% of GDP (2014);7.4
Kuwait;3% of GDP (2014);3
Kyrgyzstan;6.5% of GDP (2014);6.5
Laos;1.9% of GDP (2014);1.9
Latvia;5.9% of GDP (2014);5.9
Lebanon;6.4% of GDP (2014);6.4
Lesotho;10.6% of GDP (2014);10.6
Liberia;10% of GDP (2014);10
Libya;5% of GDP (2014);5
Lithuania;6.6% of GDP (2014);6.6
Luxembourg;6.6% of GDP (2014);6.6
Macedonia;6.5% of GDP (2014);6.5
Madagascar;3% of GDP (2014);3
Malawi;11.4% of GDP (2014);11.4
Malaysia;4.2% of GDP (2014);4.2
Maldives;13.7% of GDP (2014);13.7
Mali;6.9% of GDP (2014);6.9
Malta;9.7% of GDP (2014);9.7
Marshall Islands;17.1% of GDP (2014);17.1
Mauritania;3.8% of GDP (2014);3.8
Mauritius;4.8% of GDP (2014);4.8
Mexico;6.3% of GDP (2014);6.3
Micronesia, Federated States of;13.7% of GDP (2014);13.7
Moldova;10.3% of GDP (2014);10.3
Monaco;4.3% of GDP (2014);4.3
Mongolia;4.7% of GDP (2014);4.7
Montenegro;6.4% of GDP (2014);6.4
Morocco;5.9% of GDP (2014);5.9
Mozambique;7% of GDP (2014);7
Namibia;8.9% of GDP (2014);8.9
Nauru;3.3% of GDP (2014);3.3
Nepal;5.8% of GDP (2014);5.8
Netherlands;10.9% of GDP (2014);10.9
New Zealand;11% of GDP (2014);11
Nicaragua;9% of GDP (2014);9
Nigeria;3.7% of GDP (2014);3.7
Niger;5.8% of GDP (2014);5.8
Niue;7.4% of GDP (2014);7.4
Norway;9.7% of GDP (2014);9.7
Oman;3.6% of GDP (2014);3.6
Pakistan;2.6% of GDP (2014);2.6
Palau;9% of GDP (2014);9
Panama;8% of GDP (2014);8
Papua New Guinea;4.3% of GDP (2014);4.3
Paraguay;9.8% of GDP (2014);9.8
Peru;5.5% of GDP (2014);5.5
Philippines;4.7% of GDP (2014);4.7
Poland;6.4% of GDP (2014);6.4
Portugal;9.5% of GDP (2014);9.5
Qatar;2.2% of GDP (2014);2.2
Romania;5.6% of GDP (2014);5.6
Russia;7.1% of GDP (2014);7.1
Rwanda;7.5% of GDP (2014);7.5
Saint Kitts and Nevis;5.1% of GDP (2014);5.1
Saint Lucia;6.7% of GDP (2014);6.7
Saint Vincent and the Grenadines;8.6% of GDP (2014);8.6
Samoa;7.2% of GDP (2014);7.2
San Marino;6.1% of GDP (2014);6.1
Sao Tome and Principe;8.4% of GDP (2014);8.4
Saudi Arabia;4.7% of GDP (2014);4.7
Senegal;4.7% of GDP (2014);4.7
Serbia;10.4% of GDP (2014);10.4
Seychelles;3.4% of GDP (2014);3.4
Sierra Leone;11.1% of GDP (2014);11.1
Singapore;4.9% of GDP (2014);4.9
Slovakia;8.1% of GDP (2014);8.1
Slovenia;9.2% of GDP (2014);9.2
Solomon Islands;5.1% of GDP (2014);5.1
South Africa;8.8% of GDP (2014);8.8
South Sudan;2.7% of GDP (2014);2.7
Spain;9% of GDP (2014);9
Sri Lanka;3.5% of GDP (2014);3.5
Sudan;8.4% of GDP (2014);8.4
Suriname;5.7% of GDP (2014);5.7
Swaziland;9.3% of GDP (2014);9.3
Sweden;11.9% of GDP (2014);11.9
Switzerland;11.7% of GDP (2014);11.7
Syria;3.3% of GDP (2014);3.3
Tajikistan;6.9% of GDP (2014);6.9
Tanzania;5.6% of GDP (2014);5.6
Thailand;6.5% of GDP (2014);6.5
Timor-Leste;1.5% of GDP (2014);1.5
Togo;5.2% of GDP (2014);5.2
Tonga;5.2% of GDP (2014);5.2
Trinidad and Tobago;5.9% of GDP (2014);5.9
Tunisia;7% of GDP (2014);7
Turkey;5.4% of GDP (2014);5.4
Turkmenistan;2.1% of GDP (2014);2.1
Tuvalu;16.5% of GDP (2014);16.5
Uganda;7.2% of GDP (2014);7.2
Ukraine;7.1% of GDP (2014);7.1
United Arab Emirates;3.6% of GDP (2014);3.6
United Kingdom;9.1% of GDP (2014);9.1
United States;17.1% of GDP (2014);17.1
Uruguay;8.6% of GDP (2014);8.6
Uzbekistan;5.8% of GDP (2014);5.8
Vanuatu;5% of GDP (2014);5
Venezuela;5.3% of GDP (2014);5.3
Vietnam;7.1% of GDP (2014);7.1
Yemen;5.6% of GDP (2014);5.6
Zambia;5% of GDP (2014);5
Zimbabwe;6.4% of GDP (2014);6.4
